No,Topic_Id,Topic,QA_Id,질문,답변
1,1,파이썬,1,파이썬을 배우는 데 얼마나 걸리나요?,사람마다 다릅니다.
2,1,파이썬,1,파이썬 학습 시간 알려줘,사람마다 다릅니다.
3,1,파이썬,1,파이썬 배우고 싶은데 얼마나 걸릴까요,사람마다 다릅니다.
4,1,파이썬,1,파이썬 문법 학습 소요시간 알려줘,사람마다 다릅니다.
5,1,파이썬,2,파이썬 많이 쓰나요?,분야마다 다릅니다.
6,1,파이썬,2,파이썬 얼마나 많이 사용되나요?,분야마다 다릅니다.
7,1,파이썬,2,파이썬 자주 쓰이나요?,분야마다 다릅니다.
8,1,파이썬,2,파이썬 활용도가 높나요?,분야마다 다릅니다.
9,2,넘파이,3,넘파이도 가르치나요?,넘파이도 배웁니다.
10,2,넘파이,3,넘파이도 배울 수 있나요?,넘파이도 배웁니다.
11,3,판다스,3,판다스는 왜 배우나요?,데이터분석할 때 씁니다.
12,3,판다스,4,판다스 배우는 목적,데이터분석할 때 씁니다.
13,4,사이킷런,5,사이킷런은 어렵나요?,배우기 나름입니다.
14,4,사이킷런,5,사이킷런 배우기 어렵죠?,배우기 나름입니다.
15,4,사이킷런,5,사이킷런 난이도,배우기 나름입니다.
16,4,사이킷런,5,사이킷런 쉽게 배울 수 있나요?,배우기 나름입니다.
17,5,파이토치,6,파이토치 어렵나요?,쉬울 수도 있죠
18,5,파이토치,6,파이토치 쉽나요?,쉬울 수도 있죠
19,5,파이토치,6,파이토치 난이도,쉬울 수도 있죠
20,5,파이토치,6,파이토치 어렵죠?,쉬울 수도 있죠
